Rank,Name,Industry,Revenue (USD millions),Revenue growth(%),Employees,Headquarters
1,Walmart,Retail,611,6.7,2100000,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,513,9.4,1540000,"Seattle, Washington"
3,ExxonMobil,Petroleum industry,413,44.8,62,"Spring, Texas"
4,Apple,Electronics industry,394,7.8,164,"Cupertino, California"
5,UnitedHealth Group,Healthcare,324,12.7,400,"Minnetonka, Minnesota"
6,CVS Health,Healthcare,322,10.4,2595,"Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,302,9.4,383,"Omaha, Nebraska"
8,Alphabet,Technology and Cloud Computing,282,9.8,156,"Mountain View, California"
9,McKesson Corporation,Health,276,4.8,485,"Irving, Texas"
10,Chevron Corporation,Petroleum industry,246,51.6,43846,"San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,238,11.5,415,"Chesterbrook, Pennsylvania"
12,Costco,Retail,226,15.8,304,"Issaquah, Washington"
13,Microsoft,Technology and Cloud Computing,198,18.0,221,"Redmond, Washington"
14,Cardinal Health,Healthcare,181,11.6,46035,"Dublin, Ohio"
15,Cigna,Health Insurance,180,3.7,70231,"Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,180,27.6,178,"Findlay, Ohio"
17,Phillips 66,Petroleum industry,175,53.0,13,"Houston, Texas"
18,Valero Energy,Petroleum industry,171,58.0,9743,"San Antonio, Texas"
19,Ford Motor Company,Automotive industry,158,15.9,173,"Dearborn, Michigan"
20,The Home Depot,Retail,157,4.1,4716,"Atlanta, Georgia"
21,General Motors,Automotive industry,156,23.4,167,"Detroit, Michigan"
22,Elevance Health,Healthcare,156,13.0,1022,"Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,154,21.7,293723,"New York City, New York"
24,Kroger,Retail,148,7.5,430,"Cincinnati, Ohio"
25,Centene,Healthcare,144,14.7,743,"St. Louis, Missouri"
26,Verizon Communications,Telecommunications,136,2.4,1171,"New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,132,10.7,2625,"Deerfield, Illinois"
28,Fannie Mae,Financials,121,19.7,8,"Washington, D.C."
29,Comcast,Telecommunications,121,4.3,186,"Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and Telecomunications,120,28.5,1607,"Dallas, Texas"
31,Meta Platforms,Technology,116,1.1,86482,"Menlo Park, California"
32,Bank of America,Financials,115,22.6,216823,"Charlotte, North Carolina"
33,Target Corporation,Retail,109,2.9,440,"Minneapolis, Minnesota"
34,Dell Technologies,Technology,102,4.4,133,"Round Rock, Texas"
35,Archer Daniels Midland,Food industry,101,19.1,41181,"Chicago, Illinois"
36,Citigroup,Financials,101,26.6,238104,"New York City, New York"
37,United Parcel Service,Transportation,100,3.1,4047,"Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,100,23.4,83,"New York City, New York"
39,Lowe's,Retail,97,0.8,2445,"Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,94,1.2,1527,"New Brunswick, New Jersey"
41,FedEx,Transportation,93,11.4,518249,"Memphis, Tennessee"
42,Humana,Health Insurance,92,11.8,671,"Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,89,33.3,12565,"Dallas, Texas"
44,State Farm,Financials,89,8.6,60519,"Bloomington, Illinois"
45,Freddie Mac,Financials,86,31.6,7819,"McLean, Virginia"
46,PepsiCo,Beverage,86,8.7,315,"Purchase, New York"
47,Wells Fargo,Financials,82,0.5,238,"San Francisco, California"
48,The Walt Disney Company,Media,82,22.7,1958,"Burbank, California"
49,ConocoPhillips,Petroleum industry,82,69.9,95,"Houston, Texas"
50,Tesla,Automotive and Energy,81,51.4,127855,"Austin, Texas"
51,Procter & Gamble,Consumer products Manufacturing,80,5.3,106,"Cincinnati, Ohio"
52,United States Postal Service,Logistics,78,2.0,576,"Washington, D.C."
53,Albertsons,Retail,77,8.0,19865,"Boise, Idaho"
54,General Electric,Conglomerate,76,3.2,172,"Boston, Massachusetts"
55,MetLife,Financials,69,1.7,45,"New York City, New York"
56,Goldman Sachs,Financials,68,5.7,485,"New York City, New York"
57,Sysco,Food Service,68,33.8,7051,"Houston, Texas"
58,Bunge Limited,Food industry,67,13.7,23,"White Plains, New York"
59,RTX Corporation,Conglomerate,67,4.2,182,"Arlington County, Virginia"
60,Boeing,Aerospace and defense,66,6.9,156,"Arlington County, Virginia"
61,StoneX Group,Financials,66,55.3,305,"New York City, New York"
62,Lockheed Martin,Aerospace and Defense,65,1.6,116,"Bethesda, Maryland"
63,Morgan Stanley,Financials,65,7.9,82427,"New York City, New York"
64,Intel,Technology,63,20.1,1319,"Santa Clara, California"
65,HP,Technology,62,0.8,58,"Palo Alto, California"
66,TD Synnex,Infotech,62,97.2,285,"Clearwater, Florida"
67,IBM,Technology and Cloud Computing,60,16.3,3031,"Armonk, New York"
68,HCA Healthcare,Healthcare,60,2.5,2505,"Nashville, Tennessee"
69,Prudential Financial,Financials,60,15.3,39583,"Newark, New Jersey"
70,Caterpillar,Machinery,59,16.6,1091,"Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,59,15.8,68,"Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and Logistics,59,88.4,5214,"Miami, Florida"
73,New York Life Insurance Company,Insurance,58,14.2,1505,"New York City, New York"
74,Enterprise Products,Petroleum industry,58,42.6,73,"Houston, Texas"
75,AbbVie,Pharmaceutical industry,58,3.3,50,"Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,57,36.3,41,"Houston, Texas"
77,Dow Chemical Company,Chemical industry,56,3.5,378,"Midland, Michigan"
78,AIG,Insurance,56,8.4,262,"New York City, New York"
79,American Express,Financial,55,27.3,773,"New York City, New York"
80,Publix,Retail,54,13.5,242,"Lakeland, Florida"
81,Charter Communications,Telecommunications,54,4.5,1017,"Stamford, Connecticut"
82,Tyson Foods,Food Processing,53,13.2,142,"Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,52,19.4,82239,"Moline, Illinois"
84,Cisco,Telecom Hardware Manufacturing,51,3.5,833,"San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,51,8.6,24791,"Columbus, Ohio"
86,Allstate,Insurance,51,3.4,5425,"Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,50,69.2,95,"Atlanta, Georgia"
88,Liberty Mutual,Insurance,49,3.6,50,"Boston, Massachusetts"
89,TJX,Retail,49,2.9,329,"Framingham, Massachusetts"
90,Progressive Corporation,Insurance,49,4.0,55063,"Mayfield Village, Ohio"
91,American Airlines,Airline,48,63.9,1297,"Fort Worth, Texas"
92,CHS,Agriculture cooperative,47,24.3,10014,"Inver Grove Heights, Minnesota"
93,Performance Food Group,Food Processing,47,61.6,34825,"Richmond, Virginia"
94,PBF Energy,Petroleum industry,46,71.8,3616,"Parsippanyâ€“Troy Hills, New Jersey"
95,Nike,Apparel,46,4.9,791,"Beaverton, Oregon"
96,Best Buy,Retail,46,10.6,711,"Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,46,0.5,343,"New York City, New York"
98,United Airlines,Airline,44,82.5,92795,"Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,44,14.5,130,"Waltham, Massachusetts"
100,Qualcomm,Technology,44,31.7,51,"San Diego, California"
